"h_y","h_beta_1","h_beta_2","h_beta_3","h_beta_4","h_beta_5"
0.0123105898507499,0.025462528000586,0.021446961917571,0.0111015322767501,0.0107092385120152,0.00385108687533452
0.0117929440087089,0.0264822791505833,0.021446961917571,0.00741352801734236,0.0069569023768776,0.00385108687533452
0.0119294170335681,0.0255955384692763,0.0129909004399778,0.00739488237210832,0.00685262305888384,0.00334380618274827
0.0121789624590804,0.025367574512467,0.0105330053194789,0.015123672990422,0.00924545634907202,0.002465073208842
0.0116158915721659,0.0245165251109816,0.00423759840181357,0.00811439875035606,0.0092517634551666,0.00276204867049216
0.0119528300813102,0.0243623883776775,0.00356282163771645,0.0106847512048682,0.00663395910359962,0.00293352266060464
0.0110903666579995,0.0242967523863063,0.000162703674683571,0.00767398208960603,0.00712149162530941,0.00343638170549832
0.0116455525939227,0.0238870328274801,0.00193335800312931,0.0100666253360426,0.00881736617990192,0.0051366109992544
0.0111325477825406,0.0238504010372455,0.000654167291870509,0.0164995119080737,0.0182895533886726,0.00240456227690713
0.011316742420012,0.0239066730448954,0.00223190310751936,0.0256621023255492,0.0162980029067021,0.00669053978187721
0.00953888658749887,0.0221473496953186,0.0085134490551406,0.0189012131962622,0.0183028388983809,0.00253894032632036
0.00936974352373365,0.0230237576405688,0.00277358019119208,0.0102958957811064,0.00672669945353327,0.00232128461697488
0.00961847046085155,0.0224775569180174,0.00394252939099517,0.0103015546758634,0.00670217175039277,0.00248233194036868
0.0101901237061373,0.0221210777398541,0.00647691150387509,0.012286138391741,0.00814332956954807,0.00229324389308287
0.010491979282904,0.0208802452578806,0.00619116233379855,0.0073710752650083,0.00802594105746052,0.00315033248654277
0.00980388653526384,0.0209308422419931,0.00090721439299356,0.00988949162445881,0.00857304625489768,0.00230660362569387
0.00973429730835398,0.0212923192991082,0.000308123334975772,0.00735049499551538,0.00682925624635566,0.00286072395456614
0.00963876573798271,0.0208690220244211,0.000408617598588773,0.0100593605717675,0.00681555608116393,0.00550608127146527
0.00948610512780876,0.0212047768800857,0.000115871152257621,0.00999370840220856,0.00818816112674416,0.00417101905084823
0.0093107631426746,0.0212881567162365,0.000236678679516078,0.00788335474730504,0.00736082249045379,0.00309851096174111
0.00924358669589896,0.0207893142354251,0.000476009446755223,0.00731991898613258,0.00704384470735529,0.00391984045316516
0.0102269569618004,0.0202872021948755,0.00537026894338259,0.0109311408136699,0.00668190975727095,0.00440916081298667
0.0092887995520664,0.0179748518507036,0.00150711852245558,0.0191015130876103,0.059374707916299,0.00692288062147195
0.00916265130584234,0.0192767734866018,0.000713170464243769,0.0192380358492448,0.00784957219507811,0.00252454257104882
0.00897841130894002,0.0191925455797602,0.00079631187610609,0.0126276008862173,0.0079868215950097,0.00253159358495076
0.00917768087788954,0.0178985252402128,0.000558622236758258,0.00774519671752856,0.00704138878350573,0.00269249211859474
0.00990666544051367,0.0174330620705319,0.00466678531033103,0.00852432838229046,0.00663804426820518,0.00367678389468207
0.00939057910333124,0.0173960559111196,0.00191307562588328,0.00731496358133591,0.0067102208066938,0.00367349530569946
0.0101381177514642,0.0162508341561246,0.00281107145025133,0.00971103289441345,0.00664800060886044,0.00648370951395523
0.0109319425138593,0.0156854746612629,0.00579809155255822,0.00919714899576715,0.00796756008503255,0.00715740317523071
0.0103465418145154,0.014533942637051,0.000190625349907182,0.0115730602826116,0.0149837403868403,0.00249087623286758
0.00994738811251772,0.014476831130379,0.00238358599269409,0.00736531171050986,0.00756585112665028,0.00275440672684144
0.00925241705618261,0.0146233493860102,0.00252459504059646,0.00731542052260143,0.00901251793263696,0.0023698240491912
0.00878236981183263,0.0141101709121373,0.00219026666858719,0.00785453735665447,0.00709881497621598,0.00326774237158306
0.00974629762001242,0.0138965003856976,0.00531526454607489,0.00737094498313244,0.00726833284293906,0.00492056994952801
0.00972085281729282,0.0133718773277682,0.00403182699444477,0.00979263330268121,0.00745932000391224,0.00548659123032997
0.0111661618586209,0.0129425918725057,0.00891096396640586,0.00730515492164907,0.00805501126801199,0.00468998285353919
0.0108068786137158,0.0125065243380821,0.00602131209892391,0.00993822487312749,0.00763043091639225,0.00617284266504317
0.0101566241953776,0.0129021977829451,0.000873459883969313,0.00768715942939131,0.00857413119854704,0.00422790009343389
0.0107008649553962,0.0122788159408545,0.00199638905594387,0.00730895344829246,0.00981108719323759,0.00434547912776166
0.0104509024457262,0.0125892705703864,0.00150236135231879,0.00938592532402338,0.00713046060565763,0.00424487646710652
0.0102660518934637,0.0129207286720689,0.000210930320285985,0.0101868758632308,0.00665739852874739,0.00262176176648528
0.0104800807767001,0.0126991022976326,0.00229828695885753,0.00955203075044679,0.00743060650226839,0.00528283907927857
0.0101054340750013,0.0127426299533885,0.000284432651906167,0.00809620614236839,0.00890126834412033,0.0101207799271258
0.00916889520644334,0.0126451789498372,0.00762580419581137,0.0085480208099742,0.00838587651027226,0.00614577521880196
0.0095728882026553,0.0129004376330909,0.00554825145761806,0.0140918715999601,0.00947106083822362,0.00961400603985758
0.010197793495982,0.0130269616389743,0.00749646458662736,0.0115492170085448,0.00701928073585298,0.00997307228270929
0.0100060410295902,0.0130526867470084,0.00517055037800425,0.0107937068626927,0.00763750692215466,0.0108961689181455
0.0118646664845336,0.0129623743031952,0.0122724057053095,0.00730083804091845,0.00669321778731317,0.0145588729678972
0.0121897816004493,0.0106902107824251,0.00833910007243635,0.0217563523573159,0.010127809540445,0.0089353273409093
0.0132151453634179,0.0106761785971185,0.0093522366148743,0.0162051823007983,0.00973122018532794,0.00782696655935563
0.0110454799568446,0.0101374767493569,0.0059073321824163,0.0135703768933937,0.00847757607511847,0.00231516757354718
0.0126473087310162,0.00998462152106955,0.00711991917083912,0.0166561140370494,0.0101408359012479,0.00251230686763195
0.0110093199721559,0.0102000697635465,0.00117503296389212,0.0167520848329677,0.00669518857186681,0.00243764059274294
0.0128352878414129,0.00932884567295328,0.00571079151652682,0.0158055282196312,0.0152730396830661,0.00382731863901382
0.0121545039508209,0.0100062413390165,0.0028577433942171,0.0114241365120202,0.00791785927891068,0.00472750722537242
0.0108454118572606,0.0110202174082936,0.0062489346485887,0.0167119645194601,0.00682058760691546,0.00520529097815786
0.0116576164335169,0.0107690034158372,0.00557085560083817,0.00935106535811024,0.0079364322990758,0.00891537280065603
0.0116496700048993,0.0103854335732871,0.00359398334466447,0.00741848437156215,0.00895203958957796,0.00613336105301978
0.0111545478428264,0.0104984180908991,0.000328444977276587,0.00768279515230628,0.00976142069922939,0.00452358589357912
0.0104378388372996,0.010564506262195,0.00416720198551916,0.00749695029735366,0.00835052695755834,0.00310662691798999
0.0102996672680226,0.0108410995629657,0.00107598648429817,0.00789913869174635,0.00829268303446118,0.00309168615585225
0.00969091013387072,0.0113888651935156,0.00138832126645292,0.0076813738906894,0.00756158136929078,0.00266838117455115
0.00945919024629491,0.0113454073495626,0.000603599912602017,0.00808928818392694,0.00693116032050361,0.00318044390608407
0.00924691774559792,0.0119628779043892,0.000269383139068293,0.0109172034773771,0.0087370286214719,0.00228834011255011
0.00890707930456104,0.0119014134042559,0.0008231450886375,0.00875617095564587,0.00694179979916495,0.00236303831063312
0.00911193670318758,0.0114079165643745,0.000777775697015726,0.00743648515751154,0.00690916308394093,0.00242222830053661
0.00919355007739883,0.0109797495956065,0.00103584740216336,0.00730596542922367,0.00763892547164438,0.00277778747257507
0.00878859305197834,0.010837166594769,0.00164402640002746,0.00937496092259772,0.00663385690884178,0.00379322885897351
0.009058002622098,0.0116770369924482,0.00231346336499787,0.00947981921784766,0.00788213751309691,0.00396435198020592
0.00902681394940415,0.0114087844457018,0.00232684773550237,0.00773124695418648,0.00664153690467876,0.00613598441194918
0.00889774720042698,0.0113535627574698,0.000155039770947531,0.00730110508150395,0.00667219189685013,0.00291815332794094
0.0082036683401337,0.0115059344719291,0.00216969971574234,0.00775107881778335,0.00739763887930653,0.00384580947942761
0.00823924129456967,0.0119897934023216,0.000834519282215314,0.00921397917518432,0.0104083650677909,0.00258022750039053
0.00787412613131467,0.0121759860874355,0.000119724013959807,0.00737699014656049,0.00727590462139665,0.00281790491147855
0.00775476525982299,0.0123168222788104,0.000363609873262758,0.00896592190979897,0.00671838187252607,0.00231720929502667
